car_make,car_model,vehicle_type,classification_method,evidence,source_url,verification_status
Alfa Romeo,145,Hatchback,llm-knowledge,"3/5-door hatchback, not a sedan.",,LLM-reviewed
Alfa Romeo,147,Hatchback,llm-knowledge,3/5-door hatchback.,,LLM-reviewed
Alfa Romeo,155,Sedan,make/model heuristic,LLM pass concurs; DB majority 4 Wheels:1.,,LLM-reviewed
Alfa Romeo,156,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:6.,,LLM-reviewed
Alfa Romeo,159,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Alfa Romeo,166,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Alfa Romeo,Alfasud,Sedan,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Alfa Romeo,Giulia,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:6.,,LLM-reviewed
Alfa Romeo,Gt,Coupe,llm-knowledge,Alfa GT (937) 2-door coupe.,,LLM-reviewed
Alfa Romeo,Stelvio,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:3.,,LLM-reviewed
Alpine,A110,Sports car,llm-knowledge,Mid-engine two-seat sports car.,,LLM-reviewed
Aston Martin,Db11,Coupe,llm-knowledge,2-door grand tourer.,,LLM-reviewed
Aston Martin,Db12,Coupe,llm-knowledge,2-door grand tourer.,,LLM-reviewed
Aston Martin,Db9,Coupe,llm-knowledge,2-door grand tourer.,,LLM-reviewed
Aston Martin,Dbs,Sports car,llm-knowledge,Flagship performance GT.,,LLM-reviewed
Aston Martin,Dbx,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:4.,,LLM-reviewed
Aston Martin,Rapide,Sedan,make/model heuristic,LLM pass concurs; DB majority Sedan:1.,,LLM-reviewed
Aston Martin,Vantage,Sports car,llm-knowledge,Two-door sports car.,,LLM-reviewed
Audi,A1,Hatchback,make/model heuristic,LLM pass concurs; DB majority Coupe:3.,,LLM-reviewed
Audi,A3,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Sedan:30.,,LLM-reviewed
Audi,A4,Sedan,llm-knowledge,Executive saloon; MY listings overwhelmingly sedan.,,LLM-reviewed
Audi,A5,Sedan,llm-knowledge,Sportback fastback dominates MY; coupe variant exists.,,LLM-reviewed
Audi,A6,Sedan,llm-knowledge,Executive saloon.,,LLM-reviewed
Audi,A7,Sedan,llm-knowledge,"Sportback fastback, 4-door sedan profile.",,LLM-reviewed
Audi,A8,Sedan,llm-knowledge,Luxury saloon.,,LLM-reviewed
Audi,A8 L,Sedan,llm-knowledge,Long-wheelbase luxury saloon.,,LLM-reviewed
Audi,E-Tron,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Sedan:3.,,LLM-reviewed
Audi,Q2,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Hatchback:1.,,LLM-reviewed
Audi,Q3,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:37.,,LLM-reviewed
Audi,Q5,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:77.,,LLM-reviewed
Audi,Q7,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:60.,,LLM-reviewed
Audi,Q8,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:33.,,LLM-reviewed
Audi,R8,Sports car,llm-knowledge,Mid-engine supercar.,,LLM-reviewed
Audi,Rs Q3,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:12.,,LLM-reviewed
Audi,Rs Q8,SUV / Crossover,make/model heuristic,LLM pass concurs; DB majority Suvs:6.,,LLM-reviewed
Audi,Rs3,Sedan / Hatchback,make/model heuristic,LLM pass concurs; DB majority Hatchback:22.,,LLM-reviewed
Audi,Rs4,Wagon / Estate,llm-knowledge,Modern RS4 sold as Avant estate only.,,LLM-reviewed
